TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING,latitude,longitude
Wellington City,ABEL SMITH ST,15,W, ,CUBA ST,2012472,2/09/00,Sat,855,LB,SE1V,158A 303B 377B 926 ,,R,W,O ,L ,D,N,C,50,0,0,1,,26,1748521,5426845,-41.29618651,174.7739004
Wellington City,ADELAIDE ROAD,, ,I,ALFRED ST,2052267,26/04/00,Wed,1650,EE,CS1VCC,197A 374B 181C 181D ,Q,R,D,O ,F ,T,N,P,50,0,0,0,,,1748989,5426219,-41.30173639,174.7796407
Wellington City,ADELAIDE ROAD,50,N, ,BROOMHEDGE ST,2053076,1/06/00,Thu,2020,CB,CS1,133A 430A ,FJP,R,W,DO,H , ,N,C,50,0,0,0,,,1748928,5425983,-41.30387246,174.7789702
Wellington City,ADELAIDE ROAD,15,S, ,COLOMBO ST,2012067,1/07/00,Sat,1730,NA,VN1E,712B 713B ,,R,D,TO,F , ,N,C,50,0,0,1,35,,1748695,5425059,-41.31223459,174.7764141
Wellington City,ADELAIDE ROAD,20,S, ,DOUGLAS ST,2054510,8/10/00,Sun,1300,LB,CN1V,303B 924 ,,R,W,O ,L ,D,N,C,50,0,0,0,,,1748969,5426144,-41.30241534,174.7794203
Wellington City,ADELAIDE ROAD,, ,I,DOUGLAS ST,2011435,16/03/00,Thu,830,LB,SN1C,158A 303B 377B ,,R,D,O ,F ,T,G,P,50,0,0,1,,27,1748973,5426163,-41.30224354,174.7794634
Wellington City,ADELAIDE ROAD,240,N, ,DOVER ST,2011673,27/02/00,Sun,300,CC,CS1,137A 195A 423A 915 ,P,R,D,DO,F , ,N,C,50,0,0,1,,,1748529,5423527,-41.32605839,174.7748061
Wellington City,ADELAIDE ROAD,100,S, ,DUPPA ST,2052457,15/04/00,Sat,1600,FB,CS1CC,331A 308C 371C 929 ,,M,D,B ,F ,D,N,L,50,0,0,0,,,1748555,5423731,-41.32421691,174.7750668
Wellington City,ADELAIDE ROAD,, ,I,HALL ST,2054391,21/09/00,Thu,2215,HA,CS1C,324A ,,R,D,DO,F ,X,T,C,50,0,0,0,,,1748741,5425246,-41.31054247,174.7769177
Wellington City,ADELAIDE ROAD,, ,I,HALL ST,2011838,25/05/00,Thu,1800,HA,CN1CC,322A 358A ,,R,D,TO,F ,X,T,C,50,0,0,1,,,1748741,5425246,-41.31054247,174.7769177
Wellington City,ADELAIDE ROAD,, ,I,HALL ST,2054067,15/08/00,Tue,1400,HA,CW2VC,322A ,,R,D,O ,F ,X,T,C,50,0,0,0,,,1748741,5425246,-41.31054247,174.7769177
Wellington City,ADELAIDE ROAD,5,S, ,HOSPITAL ROAD,2050450,28/01/00,Fri,1615,FD,CS1C,331A 358A ,,R,D,B ,F ,T,N,P,50,0,0,0,,,1748861,5425719,-41.30626172,174.7782348
Wellington City,ADELAIDE ROAD,, ,I,HOSPITAL ROAD,2011945,7/04/00,Fri,1600,KA,CS1C,302A 387B ,,R,D,O ,F ,T,G,L,50,0,0,2,,,1748863,5425724,-41.30621634,174.7782575
Wellington City,ADELAIDE ROAD,, ,I,HOSPITAL ROAD,2052011,13/05/00,Sat,845,KA,CS1C,302B 375B ,,R,D,O ,F ,T,G,C,50,0,0,0,,,1748863,5425724,-41.30621634,174.7782575
Wellington City,ADELAIDE ROAD,, ,I,HOSPITAL ROAD,2053190,19/07/00,Wed,1930,KA,VS1C,302B ,,R,W,DO,F ,T,G,P,50,0,0,0,,,1748863,5425724,-41.30621634,174.7782575
Wellington City,ADELAIDE ROAD,, ,I,HOSPITAL ROAD,2055811,19/12/00,Tue,1505,JA,CS1C,302B 387B ,,R,D,B ,F ,T,G,N,50,0,0,0,,,1748863,5425724,-41.30621634,174.7782575
Wellington City,ADELAIDE ROAD,200,N, ,JOHN ST,2054082,18/08/00,Fri,1440,MC,VS1C,372B ,,R,D,OF,F , ,N,C,50,0,0,0,,,1748882,5425801,-41.30551957,174.7784655
Wellington City,ADELAIDE ROAD,, ,I,JOHN ST,2053016,8/07/00,Sat,906,LB,CN1C,303A ,,R,D,B ,F ,X,T,C,50,0,0,0,,,1748832,5425608,-41.30726645,174.7779157
Wellington City,ADELAIDE ROAD,, ,I,JOHN ST,2012593,18/10/00,Wed,1550,FC,CN1CE,181A 191B 718C ,,R,D,B ,F ,X,T,C,50,0,0,1,,,1748832,5425608,-41.30726645,174.7779157
Wellington City,ADELAIDE ROAD,, ,I,JOHN ST,2012747,2/11/00,Thu,1630,NB,CS1E,711B 718B ,,E,D,O ,F ,X,T,C,50,0,0,1,31,,1748832,5425608,-41.30726645,174.7779157
Wellington City,ADELAIDE ROAD,, ,I,LUXFORD ST,2012470,29/08/00,Tue,1630,NF,CN1E,307A ,,R,D,O ,F ,T,T,C,50,0,0,1,22,,1748585,5424215,-41.31985374,174.7753068
Wellington City,ADELAIDE ROAD,, ,I,LUXFORD ST,2012742,2/11/00,Thu,1825,FE,CS1CC,102A 331A 427A ,,R,D,O ,F ,T,T,C,50,0,0,2,,,1748585,5424215,-41.31985374,174.7753068
Wellington City,ADELAIDE ROAD,, ,I,LUXFORD ST,2052260,13/05/00,Sat,1232,EC,TN1,385A 820 ,P,R,D,O ,F ,T,T,C,50,0,0,0,,,1748585,5424215,-41.31985374,174.7753068
Wellington City,ADELAIDE ROAD,, ,I,LUXFORD ST,2055580,23/11/00,Thu,1100,AB,CS1C,152A ,,R,D,B ,F ,T,T,C,50,0,0,0,,,1748585,5424215,-41.31985374,174.7753068
Wellington City,ADELAIDE ROAD,20,N, ,OXFORD ST,2054074,18/08/00,Fri,1030,MC,CS1C,372A ,,R,D,O ,F , ,N,C,50,0,0,0,,,1748951,5426072,-41.30306691,174.779223
Wellington City,ADELAIDE ROAD,, ,I,OXFORD ST,2054857,16/10/00,Mon,1215,JA,VS1C,302A ,,R,D,B ,F ,T,G,P,50,0,0,0,,,1748946,5426053,-41.3032389,174.779168
